invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-41921900331,2021-11-12,6195,DT Liquor LLC / DeWitt,301 11th Street,DeWitt,52742.0,POINT (-90.534771 41.826248),23,CLINTON,1071100.0,Cocktails /RTD,395.0,PROXIMO,58886,Jose Cuervo Authentic Light White Peach Margarita,6,1750,8.74,13.11,6,78.66,10.5,2.77
INV-41946900026,2021-11-12,2655,Hy-Vee Food Store / Clarinda,1200 S 16TH ST,Clarinda,51632.0,POINT (-95.035617 40.726811),73,PAGE,1011600.0,Straight Rye Whiskies,434.0,LUXCO INC,27171,Minor Case Straight Rye,6,750,20.0,30.0,2,60.0,1.5,0.39
INV-41965200024,2021-11-12,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2nd Ave North,Fort Dodge,50501.0,POINT (-94.177165 42.508344),94,WEBSTER,1081200.0,Cream Liqueurs,260.0,DIAGEO AMERICAS,74090,Godiva White Chocolate Liqueur,12,750,17.0,25.5,6,153.0,4.5,1.18
INV-41946300012,2021-11-12,4779,Casey's General Store #3782 / Mount Ayr,1305 E SOUTH STREET,Mount Ayr,50854.0,,80,RINGGOLD,1062400.0,Spiced Rum,260.0,DIAGEO AMERICAS,43285,Captain Morgan Original Spiced PET,12,750,9.06,13.59,12,163.08,9.0,2.37
INV-41967200032,2021-11-12,6101,Brew Oil #26 / Pocahontas,14 E Elm Ave,Pocahontas,50574.0,POINT (-94.66731100000001 42.732607),76,POCAHONTAS,1012200.0,Scotch Whiskies,421.0,SAZERAC COMPANY  INC,10009,Scoresby Rare Scotch,12,1000,6.74,10.11,1,10.11,1.0,0.26
INV-41967500014,2021-11-12,5005,Laurens Food Pride,410 W Main St,Laurens,50554.0,,76,POCAHONTAS,1032100.0,Imported Vodkas,370.0,PERNOD RICARD USA,34006,Absolut Swedish Vodka 80prf,12,750,9.99,14.99,3,44.97,2.25,0.59
INV-41921600155,2021-11-12,2560,Hy-Vee Food Store / Marion,3600 Business Hwy 151 East,Marion,52302.0,,57,LINN,1032100.0,Imported Vodkas,421.0,SAZERAC COMPANY  INC,34690,Sobieski,12,750,6.5,9.75,12,117.0,9.0,2.37
INV-41921900041,2021-11-12,6195,DT Liquor LLC / DeWitt,301 11th Street,DeWitt,52742.0,POINT (-90.534771 41.826248),23,CLINTON,1012200.0,Scotch Whiskies,240.0,William Grant & Sons Inc,6998,Clan Macgregor Scotch,6,1750,11.25,16.88,6,101.28,10.5,2.77
INV-41927200040,2021-11-12,2506,Hy-Vee #1044 / Burlington,3140 Agency,Burlington,52601.0,POINT (-91.136655 40.814666),29,DES MOINES,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,50,25.8,38.7,1,38.7,0.05,0.01
INV-41949300002,2021-11-12,5276,Casey's General Store # 3502/ Stanto,616 Halland Ave,Stanton,51573.0,POINT (-95.099535 40.986507),69,MONTGOMERY,1031100.0,American Vodkas,300.0,McCormick Distilling Co.,36904,McCormick 80prf Vodka PET,24,375,1.8,2.7,24,64.8,9.0,2.37
INV-41925800008,2021-11-12,4603,Kum & Go #208 / SE 14th DM,3200 SE 14th St,Des Moines,50320.0,POINT (-93.596916 41.555041),77,POLK,1031100.0,American Vodkas,434.0,LUXCO INC,36306,Hawkeye Vodka,12,750,3.34,5.01,6,30.06,4.5,1.18
INV-41964000014,2021-11-12,5558,Casey's General Store #1280 / Fort Dodge,1133 S 22nd St,Fort Dodge,50501.0,POINT (-94.167864 42.49188),94,WEBSTER,1031100.0,American Vodkas,434.0,LUXCO INC,36305,Hawkeye Vodka PET,12,750,3.34,5.01,12,60.12,9.0,2.37
INV-41917100007,2021-11-12,5615,Casey's General Store #2520 / Grimes,206 E 1st St,Grimes,50111.0,,77,POLK,1011600.0,Straight Rye Whiskies,255.0,Infinium Spirits,27102,Templeton Rye 4YR,6,750,18.09,27.14,1,27.14,0.75,0.19
