invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-41935800004,2021-11-12,5044,Casey's General Store #3202 / Cresce,"111, Mormon Bridge Rd",Crescent,51526.0,POINT (-95.85886 41.362302),78,POTTAWATTA,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,86881,Southern Comfort Mini,10,50,5.16,7.74,10,77.4,0.5,0.13
INV-41929300001,2021-11-12,4897,Gasland #102 / Burlington,1703 Mt Pleasant St,Burlington,52601.0,POINT (-91.121931 40.819885),29,DES MOINES,1051100.0,American Brandies,421.0,SAZERAC COMPANY  INC,53211,Paul Masson Grande Amber Brandy VS Mini,10,50,7.12,10.68,1,10.68,0.05,0.01
INV-41934100006,2021-11-12,3728,Brewski's Beverage,726 Creek Top,Council Bluffs,51503.0,POINT (-95.854809 41.262316),78,POTTAWATTA,1081400.0,American Schnapps,421.0,SAZERAC COMPANY  INC,84171,99 Bananas,48,100,0.89,1.34,48,64.32,4.8,1.26
INV-41955900005,2021-11-12,5059,Casey's General Store #1125 / Humest,207 Front St,Humeston,50123.0,POINT (-93.499475 40.860016),93,WAYNE,1012100.0,Canadian Whiskies,260.0,DIAGEO AMERICAS,11296,Crown Royal,12,750,16.59,24.89,6,149.34,4.5,1.18
INV-41936900023,2021-11-12,3944,Sam's Club 4973 / Dubuque,4400 Asbury Rd,Dubuque,52002.0,POINT (-90.737821 42.515289),31,DUBUQUE,1022200.0,100% Agave Tequila,35.0,BACARDI USA INC,88296,Patron Silver,12,750,28.0,42.0,48,2016.0,36.0,9.51
INV-41956100011,2021-11-12,4027,Wal-Mart 1621 / Centerville,23148 Hwy 5,Centerville,52544.0,POINT (-92.867849 40.70856),4,APPANOOSE,1031200.0,American Flavored Vodka,260.0,DIAGEO AMERICAS,77842,Smirnoff Strawberry,12,750,8.25,12.38,12,148.56,9.0,2.37
INV-41929900005,2021-11-12,5517,Mepo Foods / Mediapolis,111 Wapello St N,Mediapolis,52637.0,POINT (-91.170033 41.008539),29,DES MOINES,1031200.0,American Flavored Vodka,434.0,LUXCO INC,34702,Pearl Pomegranate,12,750,7.0,10.5,2,21.0,1.5,0.39
INV-41932500036,2021-11-12,3461,Hometown Foods / Stuart,607 S Division St,Stuart,50250.0,,39,GUTHRIE,1032200.0,Imported Flavored Vodka,370.0,PERNOD RICARD USA,34052,Absolut Raspberri,12,750,9.99,14.99,3,44.97,2.25,0.59
INV-41919000073,2021-11-12,5471,World Liquor & Tobacco + Vapors,1030 8th St,Boone,50036.0,POINT (-93.876918 42.063831),8,BOONE,1701100.0,Temporary & Specialty Packages,65.0,Jim Beam Brands,567,Makers Mark 46 Gift Box,6,750,21.5,32.25,2,64.5,1.5,0.39
INV-41943700065,2021-11-12,6108,Double D Liquor Store / Waukon,618 Rossville Rd,Waukon,52172.0,,3,ALLAMAKEE,1062200.0,White Rum,35.0,BACARDI USA INC,43121,Bacardi Superior Mini,12,50,5.54,8.31,1,8.31,0.05,0.01
INV-41917700017,2021-11-12,6209,Hy-Vee / Grimes,351 Northeast Gateway Drive,Grimes,50111.0,,77,POLK,1062400.0,Spiced Rum,260.0,DIAGEO AMERICAS,1799,Captain Morgan Original Spiced Barrel,6,1750,18.0,27.0,60,1620.0,105.0,27.73
INV-41951400001,2021-11-12,5575,Casey's General Store #2919 / Marion,340 Marion Blvd,Marion,52302.0,POINT (-91.613561 42.030005),57,LINN,1081200.0,Cream Liqueurs,205.0,E & J Gallo Winery,73055,RumChata,12,750,13.5,20.25,1,20.25,0.75,0.19
INV-41965000010,2021-11-12,5450,Casey's General Store # 2211/ Fort Dodge,2007 N 15th Street,Fort Dodge,50501.0,POINT (-94.177992 42.526955),94,WEBSTER,1031100.0,American Vodkas,301.0,FIFTH GENERATION INC,38176,Titos Handmade Vodka,12,750,10.0,15.0,12,180.0,9.0,2.37
INV-41921900476,2021-11-12,6195,DT Liquor LLC / DeWitt,301 11th Street,DeWitt,52742.0,POINT (-90.534771 41.826248),23,CLINTON,1081300.0,American Cordials & Liqueur,205.0,E & J Gallo Winery,73063,RumChata Limon,12,750,13.5,20.25,3,60.75,2.25,0.59
INV-41921900454,2021-11-12,6195,DT Liquor LLC / DeWitt,301 11th Street,DeWitt,52742.0,POINT (-90.534771 41.826248),23,CLINTON,1082000.0,Imported Cordials & Liqueurs,259.0,Heaven Hill Brands,65195,Hpnotiq,6,750,10.0,15.0,3,45.0,2.25,0.59
INV-41950200006,2021-11-12,4824,Casey's General Store #3852 / Creston,107 W Taylor St,Creston,50801.0,POINT (-94.362115 41.049213),88,UNION,1082000.0,Imported Cordials & Liqueurs,192.0,"Mast-Jagermeister US, Inc",65254,Jagermeister Liqueur,24,375,7.05,10.58,24,253.92,9.0,2.37
INV-41945000002,2021-11-12,4818,Decorah Mart,"303, College Dr",Decorah,52101.0,POINT (-91.796988 43.307662),96,WINNESHIEK,1701100.0,Temporary & Specialty Packages,370.0,PERNOD RICARD USA,100719,Jameson Mini,30,50,2.31,3.47,2,6.94,0.1,0.02
INV-41936600005,2021-11-12,3632,Wal-Mart 2004 / Dubuque,4200 Dodge St,Dubuque,52003.0,POINT (-90.736279 42.48754),31,DUBUQUE,1081300.0,American Cordials & Liqueur,421.0,SAZERAC COMPANY  INC,73986,Di Amore Amaretto,12,750,6.0,9.0,12,108.0,9.0,2.37
INV-41960200001,2021-11-12,5443,1st Stop Beverage Shop,2839 East University Ave.,Des Moines,50317.0,POINT (-93.561517 41.600476),77,POLK,1082000.0,Imported Cordials & Liqueurs,35.0,BACARDI USA INC,47861,D'usse VSOP,24,200,9.49,14.24,24,341.76,4.8,1.26
INV-41956900036,2021-11-12,5257,MAD Ave Quik Shop,"405, Madison Ave",Ottumwa,52501.0,,90,WAPELLO,1082000.0,Imported Cordials & Liqueurs,368.0,Park Street Imports,65426,Licor 43,12,750,14.1,21.15,12,253.8,9.0,2.37
INV-41965000013,2021-11-12,5450,Casey's General Store # 2211/ Fort Dodge,2007 N 15th Street,Fort Dodge,50501.0,POINT (-94.177992 42.526955),94,WEBSTER,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,64865,Fireball Cinnamon Whiskey PET,12,750,8.98,13.47,12,161.64,9.0,2.37
INV-41919600003,2021-11-12,4838,Casey's General Store #2448 / Ogden,"102, W Veterans Dr",Ogden,50212.0,POINT (-94.028392 42.03201),8,BOONE,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,64865,Fireball Cinnamon Whiskey PET,12,750,8.98,13.47,12,161.64,9.0,2.37
INV-41959400069,2021-11-12,3818,Round Window Liquor,703 W Pleasant St,Knoxville,50138.0,,63,MARION,1081100.0,Coffee Liqueurs,370.0,PERNOD RICARD USA,67528,Kahlua Coffee,6,1750,26.48,39.72,1,39.72,1.75,0.46
INV-41966100012,2021-11-12,3514,Karen's Spirits and Wine,328  2nd Ave S,Fort Dodge,50501.0,POINT (-94.192501 42.502311),94,WEBSTER,1081200.0,Cream Liqueurs,205.0,E & J Gallo Winery,73053,RumChata,6,1000,17.0,25.5,6,153.0,6.0,1.58
INV-41938300003,2021-11-12,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001.0,,31,DUBUQUE,1071100.0,Cocktails /RTD,65.0,Jim Beam Brands,63321,On the Rocks Cocktails Hornitos Margarita,12,375,6.5,9.75,12,117.0,4.5,1.18
INV-41947500049,2021-11-12,2607,Hy-Vee Wine and Spirits / Shenandoah,520 So Fremont,Shenandoah,51601.0,POINT (-95.385111 40.761736),73,PAGE,1031100.0,American Vodkas,260.0,DIAGEO AMERICAS,38006,Smirnoff 80prf PET,12,750,8.25,12.38,12,148.56,9.0,2.37
INV-41936700048,2021-11-12,2624,Hy-Vee #2 / Dubuque,2395 NW Arterial Rd,Dubuque,52002.0,POINT (-90.741064 42.516633),31,DUBUQUE,1071100.0,Cocktails /RTD,395.0,PROXIMO,58909,Jose Cuervo Authentic White Peach Light Margarita,6,200,4.6,6.9,6,41.4,1.2,0.31
INV-41965800020,2021-11-12,4311,Fareway Stores #508 / Fort Dodge,1231  1st Ave S,Fort Dodge,50501.0,POINT (-94.18154 42.50513),94,WEBSTER,1071100.0,Cocktails /RTD,421.0,SAZERAC COMPANY  INC,57158,Chi-Chi's Strawberry Margarita,6,1750,5.75,8.63,6,58.5,10.5,2.77
INV-41917500011,2021-11-12,4136,Fareway Stores #983 / Grimes,351 Gateway Dr,Grimes,50111.0,,77,POLK,1062200.0,White Rum,35.0,BACARDI USA INC,43128,Bacardi Superior,6,1750,15.0,22.5,6,135.0,10.5,2.77
INV-41925500006,2021-11-12,5050,Fareway Stores #147 / Carlisle,"1115, Bluestem Dr",Carlisle,50047.0,,91,WARREN,1062400.0,Spiced Rum,260.0,DIAGEO AMERICAS,1799,Captain Morgan Original Spiced Barrel,6,1750,18.0,27.0,150,4050.0,262.5,69.34
INV-41944200013,2021-11-12,3857,Quillins Food Ranch / Waukon,9th St SW B,Waukon,52172.0,,3,ALLAMAKEE,1062400.0,Spiced Rum,260.0,DIAGEO AMERICAS,1799,Captain Morgan Original Spiced Barrel,6,1750,18.0,27.0,6,162.0,10.5,2.77
INV-41949800017,2021-11-12,5544,Casey's General Store #2834 / Lenox,501 N Brooks St,Lenox,50851.0,POINT (-94.56523 40.885861),87,TAYLOR,1062500.0,Flavored Rum,370.0,PERNOD RICARD USA,42716,Malibu Coconut,12,750,7.99,11.99,12,143.88,9.0,2.37
INV-41961600034,2021-11-12,4997,Downtown Pantry,"218, 6th Ave #101",Des Moines,50309.0,,77,POLK,1031100.0,American Vodkas,421.0,SAZERAC COMPANY  INC,36974,Nikolai Vodka,24,375,1.71,2.57,240,616.8,90.0,23.77
INV-41939200023,2021-11-12,2714,Hy-Vee / Vinton,911 S. K Ave,Vinton,52349.0,POINT (-92.037751 42.16218),6,BENTON,1062200.0,White Rum,434.0,LUXCO INC,46350,Hawkeye Light Rum,6,1750,7.67,11.51,6,69.06,10.5,2.77
INV-41951600056,2021-11-12,2569,Hy-Vee Food Store #2 / Cedar Rapids,279 Collins Road NE,Cedar Rapids,52402.0,POINT (-91.630677 42.027805),57,LINN,1062400.0,Spiced Rum,260.0,DIAGEO AMERICAS,43331,Captain Morgan Original Spiced Mini,12,50,4.8,7.2,12,86.4,0.6,0.15
INV-41959400039,2021-11-12,3818,Round Window Liquor,703 W Pleasant St,Knoxville,50138.0,,63,MARION,1012400.0,Irish Whiskies,370.0,PERNOD RICARD USA,15626,Jameson,12,750,16.49,24.74,4,98.96,3.0,0.79
INV-41938300004,2021-11-12,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001.0,,31,DUBUQUE,1071100.0,Cocktails /RTD,65.0,Jim Beam Brands,63344,On the Rocks Cocktails Larios Aviation,12,375,6.5,9.75,24,234.0,9.0,2.37
INV-41915800016,2021-11-12,2688,Hy-Vee C-Store - East Hickman,1025 East Hickman,Waukee,50263.0,POINT (-93.854273 41.615059),25,DALLAS,1062400.0,Spiced Rum,260.0,DIAGEO AMERICAS,43331,Captain Morgan Original Spiced Mini,12,50,4.8,7.2,12,86.4,0.6,0.15
INV-41966000009,2021-11-12,6095,Liquor Tobacco Outlet / Fort Dodge,902 1st Ave N,Fort Dodge,50501.0,POINT (-94.186138 42.506332),94,WEBSTER,1022100.0,Mixto Tequila,395.0,PROXIMO,89199,Jose Cuervo Especial Reposado Square,12,375,6.0,9.0,12,108.0,4.5,1.18
INV-41921900156,2021-11-12,6195,DT Liquor LLC / DeWitt,301 11th Street,DeWitt,52742.0,POINT (-90.534771 41.826248),23,CLINTON,1062400.0,Spiced Rum,259.0,Heaven Hill Brands,43028,Admiral Nelson Spiced,6,1750,11.55,17.33,3,51.99,5.25,1.38
INV-41931000008,2021-11-12,4402,KUM & GO #80 / RIVERSIDE,1178 Enterprise Dr,Riverside,52327.0,POINT (-91.555044 41.486572),92,WASHINGTON,1062400.0,Spiced Rum,260.0,DIAGEO AMERICAS,43331,Captain Morgan Original Spiced Mini,12,50,4.8,7.2,1,7.2,0.05,0.01
INV-41956200005,2021-11-12,5724,Casey's General Store #3772,105 South 18th Street,Centerville,52544.0,,4,APPANOOSE,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,64868,Fireball Cinnamon Whiskey,6,1750,15.33,23.0,6,138.0,10.5,2.77
INV-41927400008,2021-11-12,4898,Burlington Shell,130 S Roosevelt Ave,Burlington,52601.0,POINT (-91.140986 40.808239),29,DES MOINES,1011100.0,Blended Whiskies,65.0,Jim Beam Brands,24454,Kessler Blend Whiskey,24,375,3.15,4.73,5,23.65,1.87,0.49
INV-41966200004,2021-11-12,5556,Casey's General Store #2891 / Fort Dodge,235 Ave O,Fort Dodge,50501.0,,94,WEBSTER,1031100.0,American Vodkas,626.0,JDSO INC / Red Boot Distillery,36985,Blue Ox Vodka,24,375,1.9,2.85,24,68.4,9.0,2.37
INV-41921600085,2021-11-12,2560,Hy-Vee Food Store / Marion,3600 Business Hwy 151 East,Marion,52302.0,,57,LINN,1012200.0,Scotch Whiskies,421.0,SAZERAC COMPANY  INC,10008,Scoresby Rare Scotch,6,1750,10.5,15.75,6,94.5,10.5,2.77
INV-41957400004,2021-11-12,3916,Smokin' Joe's #5 Tobacco and Liquor Outlet,1115 Albia Rd,Ottumwa,52501.0,POINT (-92.437224 41.009342),90,WAPELLO,1031100.0,American Vodkas,300.0,McCormick Distilling Co.,36904,McCormick 80prf Vodka PET,24,375,1.8,2.7,24,64.8,9.0,2.37
INV-41921900401,2021-11-12,6195,DT Liquor LLC / DeWitt,301 11th Street,DeWitt,52742.0,POINT (-90.534771 41.826248),23,CLINTON,1081100.0,Coffee Liqueurs,421.0,SAZERAC COMPANY  INC,73136,Chila Coffee Liqueur,12,750,4.97,7.46,3,22.38,2.25,0.59
INV-41921600110,2021-11-12,2560,Hy-Vee Food Store / Marion,3600 Business Hwy 151 East,Marion,52302.0,,57,LINN,1062500.0,Flavored Rum,370.0,PERNOD RICARD USA,43902,Malibu Strawberry,12,750,7.99,11.99,12,143.88,9.0,2.37
INV-41927200008,2021-11-12,2506,Hy-Vee #1044 / Burlington,3140 Agency,Burlington,52601.0,POINT (-91.136655 40.814666),29,DES MOINES,1071100.0,Cocktails /RTD,65.0,Jim Beam Brands,63297,On the Rocks Cocktails Knob Creek Bourbon Old Fashioned,24,200,3.73,5.6,10,56.0,2.0,0.52
INV-41923600004,2021-11-12,5338,Kum & Go #539/ NW 2nd Ave,5050 NW 2nd Ave,Des Moines,50313.0,,77,POLK,1031100.0,American Vodkas,301.0,FIFTH GENERATION INC,38178,Titos Handmade Vodka,6,1750,19.0,28.5,6,171.0,10.5,2.77
INV-41932900011,2021-11-12,4880,Casey's General Store #1567 / Anita,912 Main St,Anita,50020.0,POINT (-94.767946 41.44353000000001),15,CASS,1031100.0,American Vodkas,260.0,DIAGEO AMERICAS,37996,Smirnoff 80prf,12,750,8.25,12.38,2,24.76,1.5,0.39
INV-41943700013,2021-11-12,6108,Double D Liquor Store / Waukon,618 Rossville Rd,Waukon,52172.0,,3,ALLAMAKEE,1031100.0,American Vodkas,301.0,FIFTH GENERATION INC,38176,Titos Handmade Vodka,12,750,10.0,15.0,12,180.0,9.0,2.37
INV-41948300014,2021-11-12,5971,Pony Creek Liquor / Glenwood,411 S Locust St,Glenwood,51534.0,POINT (-95.744542 41.042019),65,MILLS,1012200.0,Scotch Whiskies,260.0,DIAGEO AMERICAS,5290,J & B Rare Scotch,12,750,12.25,18.38,1,18.38,0.75,0.19
INV-41968300004,2021-11-12,4324,Dayton Community Grocery,22 North Main,Dayton,50530.0,POINT (-94.068439 42.26168),94,WEBSTER,1031100.0,American Vodkas,434.0,LUXCO INC,36307,Hawkeye Vodka,12,1000,4.05,6.08,12,72.96,12.0,3.17
INV-41929300017,2021-11-12,4897,Gasland #102 / Burlington,1703 Mt Pleasant St,Burlington,52601.0,POINT (-91.121931 40.819885),29,DES MOINES,1032100.0,Imported Vodkas,370.0,PERNOD RICARD USA,34006,Absolut Swedish Vodka 80prf,12,750,9.99,14.99,2,29.98,1.5,0.39
INV-41966100007,2021-11-12,3514,Karen's Spirits and Wine,328  2nd Ave S,Fort Dodge,50501.0,POINT (-94.192501 42.502311),94,WEBSTER,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,64904,Fireball Cinnamon Whiskey PET,6,1750,15.33,23.0,6,138.0,10.5,2.77
INV-41951800004,2021-11-12,2618,Hy-Vee Drugstore #6 / Cedar Rapids,505 Boyson Rd NE,Cedar Rapids,52402.0,POINT (-91.639265 42.046111),57,LINN,1012200.0,Scotch Whiskies,421.0,SAZERAC COMPANY  INC,8828,Lauders,6,1750,11.18,16.77,6,85.5,10.5,2.77
INV-41936700017,2021-11-12,2624,Hy-Vee #2 / Dubuque,2395 NW Arterial Rd,Dubuque,52002.0,POINT (-90.741064 42.516633),31,DUBUQUE,1012300.0,Single Malt Scotch,65.0,Jim Beam Brands,5446,Laphroaig 10YR,12,750,29.5,44.25,12,531.0,9.0,2.37
INV-41921900195,2021-11-12,6195,DT Liquor LLC / DeWitt,301 11th Street,DeWitt,52742.0,POINT (-90.534771 41.826248),23,CLINTON,1062200.0,White Rum,421.0,SAZERAC COMPANY  INC,46142,Caliber Silver Rum,6,1750,7.35,11.03,3,33.09,5.25,1.38
INV-41921600038,2021-11-12,2560,Hy-Vee Food Store / Marion,3600 Business Hwy 151 East,Marion,52302.0,,57,LINN,1062400.0,Spiced Rum,259.0,Heaven Hill Brands,43024,Admiral Nelson Spiced,24,375,2.99,4.49,12,53.88,4.5,1.18
INV-41954400010,2021-11-12,4346,Roy's Foodland,105 Pearl St,Shellsburg,52332.0,POINT (-91.869285 42.094155),6,BENTON,1071100.0,Cocktails /RTD,395.0,PROXIMO,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.74,13.11,2,26.22,3.5,0.92
INV-41947500025,2021-11-12,2607,Hy-Vee Wine and Spirits / Shenandoah,520 So Fremont,Shenandoah,51601.0,POINT (-95.385111 40.761736),73,PAGE,1012400.0,Irish Whiskies,370.0,PERNOD RICARD USA,15626,Jameson,12,750,16.49,24.74,24,593.76,18.0,4.75
INV-41952900003,2021-11-12,5611,Casey's General Store #2908 / Anamosa,1752 Hwy 64 E,Anamosa,52205.0,POINT (-91.263636 42.102888),53,JONES,1031100.0,American Vodkas,434.0,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,4,43.04,7.0,1.84
INV-41963400008,2021-11-12,2602,Hy-Vee Food Store / Webster City,823  2nd St,Webster City,50595.0,POINT (-93.82579 42.470549),40,HAMILTON,1031100.0,American Vodkas,260.0,DIAGEO AMERICAS,37991,Smirnoff 80prf Mini,12,50,7.47,11.21,2,22.42,0.1,0.02
INV-41956600008,2021-11-12,2523,Hy-Vee Food Store / Centerville,609 N 18th,Centerville,52544.0,POINT (-92.867967 40.737577),4,APPANOOSE,1081400.0,American Schnapps,434.0,LUXCO INC,82187,Arrow Spearmint Schnapps,12,1000,5.0,7.5,12,90.0,12.0,3.17
INV-41936200002,2021-11-12,4785,Casey's General Store #2835 / Avoca,1019 N Chestnut St,Avoca,51521.0,POINT (-95.336353 41.485575),78,POTTAWATTA,1012100.0,Canadian Whiskies,260.0,DIAGEO AMERICAS,10805,Crown Royal Regal Apple,24,375,8.0,12.0,6,72.0,2.25,0.59
INV-41950400046,2021-11-12,4291,Fareway Stores #597 / Creston,105 E Adams St,Creston,50801.0,,88,UNION,1012100.0,Canadian Whiskies,260.0,DIAGEO AMERICAS,10807,Crown Royal Regal Apple,12,750,16.59,24.89,12,298.68,9.0,2.37
INV-41929700001,2021-11-12,5517,Mepo Foods / Mediapolis,111 Wapello St N,Mediapolis,52637.0,POINT (-91.170033 41.008539),29,DES MOINES,1011400.0,Tennessee Whiskies,85.0,Brown Forman Corp.,926352,HA Jack Daniels 10YR,6,750,35.0,52.5,1,52.5,0.75,0.19
INV-41914800007,2021-11-12,4378,Kum & Go #1202 / Waukee,650 W Hickman Rd,Waukee,50263.0,POINT (-93.887586 41.614927),25,DALLAS,1011200.0,Straight Bourbon Whiskies,65.0,Jim Beam Brands,28279,Jim Beam Peach,12,750,11.0,16.5,3,49.5,2.25,0.59
INV-41939000047,2021-11-12,2649,Hy-Vee #3 / Dubuque,400 Locust St,Dubuque,52001.0,POINT (-90.666497 42.49721900000001),31,DUBUQUE,1011200.0,Straight Bourbon Whiskies,65.0,Jim Beam Brands,19096,Jim Beam PET,12,750,11.0,16.5,6,99.0,4.5,1.18
INV-41925400017,2021-11-12,4370,Kum & Go #240 / North Ave Norwalk,530 North Ave,Norwalk,50211.0,,91,WARREN,1012100.0,Canadian Whiskies,259.0,Heaven Hill Brands,11771,Black Velvet Mini,8,50,8.5,12.75,1,12.75,0.05,0.01
INV-41966600001,2021-11-12,2606,Hy-Vee Wine and Spirits / Humboldt,1011  13th St North,Humboldt,50548.0,,46,HUMBOLDT,1082200.0,Imported Schnapps,421.0,SAZERAC COMPANY  INC,69667,Dr McGillicuddys Vanilla,12,1000,11.0,16.5,12,198.0,12.0,3.17
INV-41921900226,2021-11-12,6195,DT Liquor LLC / DeWitt,301 11th Street,DeWitt,52742.0,POINT (-90.534771 41.826248),23,CLINTON,1701100.0,Temporary & Specialty Packages,395.0,PROXIMO,100077,Kraken Rum w/ Tiki Glass,6,750,10.45,15.68,6,94.08,4.5,1.18
INV-41958000082,2021-11-12,2543,Hy-Vee Food Store #1 / Ottumwa,1025 North Quincy Ave,Ottumwa,52501.0,POINT (-92.438463 41.01558),90,Wapello,1022200.0,100% Agave Tequila,260.0,DIAGEO AMERICAS,87485,Don Julio Blanco,6,750,29.5,44.25,2,88.5,1.5,0.39
INV-41921900015,2021-11-12,6195,DT Liquor LLC / DeWitt,301 11th Street,DeWitt,52742.0,POINT (-90.534771 41.826248),23,CLINTON,1011400.0,Tennessee Whiskies,346.0,OLE SMOKY DISTILLERY LLC,87018,Ole Smoky Peach Whiskey,6,750,10.0,15.0,2,30.0,1.5,0.39
INV-41956900046,2021-11-12,5257,MAD Ave Quik Shop,"405, Madison Ave",Ottumwa,52501.0,,90,WAPELLO,1011200.0,Straight Bourbon Whiskies,306.0,MISSISSIPPI RIVER DISTIL,27479,Cody Road Bourbon,6,750,19.17,28.76,6,172.56,4.5,1.18
INV-41953800005,2021-11-12,5601,Casey's General Store #1889 / Monticello,627 S Main St,Monticello,52310.0,POINT (-91.186135 42.232296),53,JONES,1012100.0,Canadian Whiskies,259.0,Heaven Hill Brands,86456,Black Velvet Apple,6,1750,10.45,15.68,3,47.04,5.25,1.38
INV-41930600014,2021-11-12,3403,Econ-o-mart / Columbus Junction,103 Walnut St. E,Columbus Junction,52738.0,POINT (-91.359363 41.280107),58,LOUISA,1012100.0,Canadian Whiskies,259.0,Heaven Hill Brands,11777,Black Velvet,12,1000,6.63,9.95,2,19.9,2.0,0.52
INV-41965800013,2021-11-12,4311,Fareway Stores #508 / Fort Dodge,1231  1st Ave S,Fort Dodge,50501.0,POINT (-94.18154 42.50513),94,WEBSTER,1012100.0,Canadian Whiskies,421.0,SAZERAC COMPANY  INC,12408,Canadian Ltd Whisky,6,1750,7.43,11.15,6,82.26,10.5,2.77
INV-41927200162,2021-11-12,2506,Hy-Vee #1044 / Burlington,3140 Agency,Burlington,52601.0,POINT (-91.136655 40.814666),29,DES MOINES,1012100.0,Canadian Whiskies,395.0,PROXIMO,14192,Pendleton Canadian Whiskey,12,750,13.5,20.25,12,243.0,9.0,2.37
INV-41946000007,2021-11-12,2668,Hy-Vee Food Store / Leon,1004 W 1st St,Leon,50144.0,POINT (-93.757827 40.739645),27,DECATUR,1011200.0,Straight Bourbon Whiskies,65.0,Jim Beam Brands,19476,Makers Mark,12,750,18.0,27.0,6,162.0,4.5,1.18
INV-41939200024,2021-11-12,2714,Hy-Vee / Vinton,911 S. K Ave,Vinton,52349.0,POINT (-92.037751 42.16218),6,BENTON,1062500.0,Flavored Rum,370.0,PERNOD RICARD USA,43902,Malibu Strawberry,12,750,7.99,11.99,12,143.88,9.0,2.37
INV-41941800039,2021-11-12,6166,Dannys Tobacco & Liquor / Guttenberg,531 U.S. 52,Guttenberg,52052.0,,22,CLAYTON,1071100.0,Cocktails /RTD,421.0,SAZERAC COMPANY  INC,57144,Chi-Chi's White Russian,6,1750,5.75,8.63,1,9.75,1.75,0.46
INV-41918800052,2021-11-12,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,Boone,50036.0,POINT (-93.876107 42.063831),8,BOONE,1031100.0,American Vodkas,626.0,JDSO INC / Red Boot Distillery,36875,Blue Ox Vodka,6,1750,7.28,10.92,6,65.52,10.5,2.77
INV-41965200061,2021-11-12,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2nd Ave North,Fort Dodge,50501.0,POINT (-94.177165 42.508344),94,WEBSTER,1011200.0,Straight Bourbon Whiskies,35.0,BACARDI USA INC,16562,Angels Envy Bourbon Port Finished,6,750,24.5,36.75,6,220.5,4.5,1.18
INV-41924000039,2021-11-12,6140,Royal Food & Liquor / Des Moines,1443 2nd Ave,Des Moines,50314.0,POINT (-93.619783 41.605229),77,POLK,1041100.0,American Dry Gins,482.0,"Sovereign Brands, LLC",93557,McQueen and the Violet Fog,6,750,18.5,27.75,2,55.5,1.5,0.39
INV-41932100001,2021-11-12,3712,Monte Spirits,109 N 4th St,Montezuma,50171.0,,79,POWESHIEK,1012100.0,Canadian Whiskies,259.0,Heaven Hill Brands,11788,Black Velvet,6,1750,10.45,15.68,6,94.08,10.5,2.77
INV-41928600021,2021-11-12,5361,Liquorland,624 Angular St.,Burlington,52601.0,POINT (-91.107638 40.802397),29,DES MOINES,1051100.0,American Brandies,205.0,E & J Gallo Winery,52591,E & J VS Mini,10,50,5.54,8.31,1,8.31,0.05,0.01
INV-41946700018,2021-11-12,5785,Casey's General Store #2491 / Clarinda,1107 S 16th St,Clarinda,51632.0,POINT (-95.03782 40.727464),73,PAGE,1081400.0,American Schnapps,421.0,SAZERAC COMPANY  INC,81124,99 Peppermint Mini,10,50,5.16,7.74,10,77.4,0.5,0.13
INV-41962500001,2021-11-12,5623,Easygo,2723 Grand Ave,Des Moines,50312.0,POINT (-93.654227 41.584417),77,POLK,1052100.0,Imported Brandies,389.0,REMY COINTREAU USA INC,49185,Remy Martin VSOP Flask,12,375,12.52,18.78,12,225.36,4.5,1.18
INV-41921900116,2021-11-12,6195,DT Liquor LLC / DeWitt,301 11th Street,DeWitt,52742.0,POINT (-90.534771 41.826248),23,CLINTON,1022200.0,100% Agave Tequila,260.0,DIAGEO AMERICAS,89175,Don Julio Anejo,6,750,34.49,51.74,2,103.48,1.5,0.39
INV-41938700081,2021-11-12,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001.0,,31,DUBUQUE,1032200.0,Imported Flavored Vodka,370.0,PERNOD RICARD USA,36769,Absolut Grapefruit,12,750,9.99,14.99,4,59.96,3.0,0.79
INV-41923200043,2021-11-12,3732,North Scott Foods,425 E Leclaire Rd,Eldridge,52748.0,POINT (-90.577311 41.654695000000004),82,SCOTT,1011200.0,Straight Bourbon Whiskies,65.0,Jim Beam Brands,19066,Jim Beam,12,750,11.0,16.5,12,198.0,9.0,2.37
